Verbose? (0/1) 
Enter first and last N: 
>>> Level 306 <<< 4 newform(s), 25 eigs on file.
>>> Level 307 <<< 4 newform(s), 25 eigs on file.
>>> Level 308 <<< 1 newform(s), 25 eigs on file.
>>> Level 309 <<< 1 newform(s), 25 eigs on file.
>>> Level 310 <<< 2 newform(s), 25 eigs on file.
>>> Level 311 <<< 0 newform(s), 0 eigs on file.
>>> Level 312 <<< 6 newform(s), 25 eigs on file.
>>> Level 313 <<< 0 newform(s), 0 eigs on file.
>>> Level 314 <<< 1 newform(s), 25 eigs on file.
>>> Level 315 <<< 2 newform(s), 25 eigs on file.
>>> Level 316 <<< 2 newform(s), 25 eigs on file.
>>> Level 317 <<< 0 newform(s), 0 eigs on file.
>>> Level 318 <<< 5 newform(s), 25 eigs on file.
>>> Level 319 <<< 1 newform(s), 25 eigs on file.
>>> Level 320 <<< 6 newform(s), 25 eigs on file.
>>> Level 321 <<< 0 newform(s), 0 eigs on file.
>>> Level 322 <<< 4 newform(s), 25 eigs on file.
>>> Level 323 <<< 1 newform(s), 25 eigs on file.
>>> Level 324 <<< 4 newform(s), 25 eigs on file.
>>> Level 325 <<< 5 newform(s), 25 eigs on file.
>>> Level 326 <<< 3 newform(s), 25 eigs on file.
>>> Level 327 <<< 1 newform(s), 25 eigs on file.
>>> Level 328 <<< 2 newform(s), 25 eigs on file.
>>> Level 329 <<< 1 newform(s), 25 eigs on file.
>>> Level 330 <<< 5 newform(s), 25 eigs on file.
>>> Level 331 <<< 1 newform(s), 25 eigs on file.
>>> Level 332 <<< 0 newform(s), 0 eigs on file.
>>> Level 333 <<< 4 newform(s), 25 eigs on file.
>>> Level 334 <<< 1 newform(s), 25 eigs on file.
>>> Level 335 <<< 1 newform(s), 25 eigs on file.
>>> Level 336 <<< 6 newform(s), 25 eigs on file.
>>> Level 337 <<< 0 newform(s), 0 eigs on file.
>>> Level 338 <<< 6 newform(s), 25 eigs on file.
>>> Level 339 <<< 3 newform(s), 25 eigs on file.
>>> Level 340 <<< 1 newform(s), 25 eigs on file.
>>> Level 341 <<< 0 newform(s), 0 eigs on file.
>>> Level 342 <<< 7 newform(s), 25 eigs on file.
>>> Level 343 <<< 0 newform(s), 0 eigs on file.
>>> Level 344 <<< 1 newform(s), 25 eigs on file.
>>> Level 345 <<< 6 newform(s), 25 eigs on file.
>>> Level 346 <<< 2 newform(s), 25 eigs on file.
>>> Level 347 <<< 1 newform(s), 25 eigs on file.
>>> Level 348 <<< 4 newform(s), 25 eigs on file.
>>> Level 349 <<< 0 newform(s), 0 eigs on file.
>>> Level 350 <<< 6 newform(s), 25 eigs on file.
>>> Level 351 <<< 0 newform(s), 0 eigs on file.
>>> Level 352 <<< 6 newform(s), 25 eigs on file.
>>> Level 353 <<< 1 newform(s), 25 eigs on file.
>>> Level 354 <<< 6 newform(s), 25 eigs on file.
>>> Level 355 <<< 1 newform(s), 25 eigs on file.
>>> Level 356 <<< 1 newform(s), 25 eigs on file.
>>> Level 357 <<< 4 newform(s), 25 eigs on file.
>>> Level 358 <<< 2 newform(s), 25 eigs on file.
>>> Level 359 <<< 2 newform(s), 25 eigs on file.
>>> Level 360 <<< 5 newform(s), 25 eigs on file.
>>> Level 361 <<< 2 newform(s), 25 eigs on file.
>>> Level 362 <<< 2 newform(s), 25 eigs on file.
>>> Level 363 <<< 3 newform(s), 25 eigs on file.
>>> Level 364 <<< 2 newform(s), 25 eigs on file.
>>> Level 365 <<< 0 newform(s), 0 eigs on file.
>>> Level 366 <<< 7 newform(s), 25 eigs on file.
>>> Level 367 <<< 0 newform(s), 0 eigs on file.
>>> Level 368 <<< 7 newform(s), 25 eigs on file.
>>> Level 369 <<< 2 newform(s), 25 eigs on file.
>>> Level 370 <<< 4 newform(s), 25 eigs on file.
>>> Level 371 <<< 2 newform(s), 25 eigs on file.
>>> Level 372 <<< 4 newform(s), 25 eigs on file.
>>> Level 373 <<< 1 newform(s), 25 eigs on file.
>>> Level 374 <<< 1 newform(s), 25 eigs on file.
>>> Level 375 <<< 0 newform(s), 0 eigs on file.
>>> Level 376 <<< 0 newform(s), 0 eigs on file.
>>> Level 377 <<< 1 newform(s), 25 eigs on file.
>>> Level 378 <<< 8 newform(s), 25 eigs on file.
>>> Level 379 <<< 0 newform(s), 0 eigs on file.
>>> Level 380 <<< 2 newform(s), 25 eigs on file.
>>> Level 381 <<< 2 newform(s), 25 eigs on file.
>>> Level 382 <<< 0 newform(s), 0 eigs on file.
>>> Level 383 <<< 0 newform(s), 0 eigs on file.
>>> Level 384 <<< 8 newform(s), 25 eigs on file.
>>> Level 385 <<< 2 newform(s), 25 eigs on file.
>>> Level 386 <<< 0 newform(s), 0 eigs on file.
>>> Level 387 <<< 5 newform(s), 25 eigs on file.
>>> Level 388 <<< 0 newform(s), 0 eigs on file.
>>> Level 389 <<< 1 newform(s), 25 eigs on file.
>>> Level 390 <<< 7 newform(s), 25 eigs on file.
>>> Level 391 <<< 0 newform(s), 0 eigs on file.
>>> Level 392 <<< 6 newform(s), 25 eigs on file.
>>> Level 393 <<< 0 newform(s), 0 eigs on file.
>>> Level 394 <<< 0 newform(s), 0 eigs on file.
>>> Level 395 <<< 3 newform(s), 25 eigs on file.
>>> Level 396 <<< 3 newform(s), 25 eigs on file.
>>> Level 397 <<< 0 newform(s), 0 eigs on file.
>>> Level 398 <<< 1 newform(s), 25 eigs on file.
>>> Level 399 <<< 3 newform(s), 25 eigs on file.
>>> Level 400 <<< 8 newform(s), 25 eigs on file.
>>> Level 401 <<< 0 newform(s), 0 eigs on file.
>>> Level 402 <<< 4 newform(s), 25 eigs on file.
>>> Level 403 <<< 0 newform(s), 0 eigs on file.
>>> Level 404 <<< 2 newform(s), 25 eigs on file.
>>> Level 405 <<< 6 newform(s), 25 eigs on file.
>>> Level 406 <<< 4 newform(s), 25 eigs on file.
>>> Level 407 <<< 0 newform(s), 0 eigs on file.
>>> Level 408 <<< 4 newform(s), 25 eigs on file.
>>> Level 409 <<< 0 newform(s), 0 eigs on file.
>>> Level 410 <<< 4 newform(s), 25 eigs on file.
>>> Level 411 <<< 0 newform(s), 0 eigs on file.
>>> Level 412 <<< 0 newform(s), 0 eigs on file.
>>> Level 413 <<< 0 newform(s), 0 eigs on file.
>>> Level 414 <<< 4 newform(s), 25 eigs on file.
>>> Level 415 <<< 1 newform(s), 25 eigs on file.
>>> Level 416 <<< 2 newform(s), 25 eigs on file.
>>> Level 417 <<< 1 newform(s), 25 eigs on file.
>>> Level 418 <<< 3 newform(s), 25 eigs on file.
>>> Level 419 <<< 0 newform(s), 0 eigs on file.
>>> Level 420 <<< 4 newform(s), 25 eigs on file.
>>> Level 421 <<< 0 newform(s), 0 eigs on file.
>>> Level 422 <<< 1 newform(s), 25 eigs on file.
>>> Level 423 <<< 7 newform(s), 25 eigs on file.
>>> Level 424 <<< 0 newform(s), 0 eigs on file.
>>> Level 425 <<< 4 newform(s), 25 eigs on file.
>>> Level 426 <<< 3 newform(s), 25 eigs on file.
>>> Level 427 <<< 3 newform(s), 25 eigs on file.
>>> Level 428 <<< 2 newform(s), 25 eigs on file.
>>> Level 429 <<< 2 newform(s), 25 eigs on file.
>>> Level 430 <<< 4 newform(s), 25 eigs on file.
>>> Level 431 <<< 2 newform(s), 25 eigs on file.
>>> Level 432 <<< 8 newform(s), 25 eigs on file.
>>> Level 433 <<< 1 newform(s), 25 eigs on file.
>>> Level 434 <<< 5 newform(s), 25 eigs on file.
>>> Level 435 <<< 4 newform(s), 25 eigs on file.
>>> Level 436 <<< 0 newform(s), 0 eigs on file.
>>> Level 437 <<< 2 newform(s), 25 eigs on file.
>>> Level 438 <<< 7 newform(s), 25 eigs on file.
>>> Level 439 <<< 0 newform(s), 0 eigs on file.
>>> Level 440 <<< 4 newform(s), 25 eigs on file.
>>> Level 441 <<< 6 newform(s), 25 eigs on file.
>>> Level 442 <<< 5 newform(s), 25 eigs on file.
>>> Level 443 <<< 3 newform(s), 25 eigs on file.
>>> Level 444 <<< 2 newform(s), 25 eigs on file.
>>> Level 445 <<< 0 newform(s), 0 eigs on file.
>>> Level 446 <<< 4 newform(s), 25 eigs on file.
>>> Level 447 <<< 0 newform(s), 0 eigs on file.
>>> Level 448 <<< 8 newform(s), 25 eigs on file.
>>> Level 449 <<< 0 newform(s), 0 eigs on file.
>>> Level 450 <<< 7 newform(s), 25 eigs on file.
>>> Level 451 <<< 1 newform(s), 25 eigs on file.
>>> Level 452 <<< 0 newform(s), 0 eigs on file.
>>> Level 453 <<< 0 newform(s), 0 eigs on file.
>>> Level 454 <<< 0 newform(s), 0 eigs on file.
>>> Level 455 <<< 2 newform(s), 25 eigs on file.
>>> Level 456 <<< 4 newform(s), 25 eigs on file.
>>> Level 457 <<< 0 newform(s), 0 eigs on file.
>>> Level 458 <<< 2 newform(s), 25 eigs on file.
>>> Level 459 <<< 8 newform(s), 25 eigs on file.
>>> Level 460 <<< 4 newform(s), 25 eigs on file.
>>> Level 461 <<< 0 newform(s), 0 eigs on file.
>>> Level 462 <<< 7 newform(s), 25 eigs on file.
>>> Level 463 <<< 0 newform(s), 0 eigs on file.
>>> Level 464 <<< 7 newform(s), 25 eigs on file.
